session_id,rep_index,global_rep_id,err_knee_flexion_at_bottom,err_knee_flexion_range,err_trunk_lean_at_bottom,err_trunk_lean_mean,err_trunk_lean_max,err_trunk_lean_range,err_trunk_lean_at_end,err_descent_ascent_ratio,err_descent_time_s,err_ascent_time_s,err_knee_vel_max_descent,err_knee_vel_max_ascent,err_knee_jerk_max,err_knee_jerk_rms,err_normalized_jerk_cost
32977_1,0,11,3.398829827826016e-05,0.001010559147832462,0.01420650829745887,0.0022936243626589504,0.004729444688575119,6.3652989927668016e-06,0.022740820787825414,0.024588644549071295,0.027344229950819855,0.028485027246021987,0.10921490568872662,0.030318099360489122,0.005478245818832269,0.010962536266999803,3.8240895012654687e-08
32977_1,1,12,0.002353176703017423,0.002457008677972342,0.00466506753782581,0.01902897849187173,0.0009470449178568519,0.0007323980281710947,0.008311028594091463,0.00020453325830297736,0.0006841424783151219,0.0003283325876271775,0.05289167708029301,0.007971693625525467,0.03838666952504578,0.09414345132452542,0.0003105301218448241
32979_1,0,13,0.008307209378290506,0.009152927878630113,0.001183439734881279,0.020654684450494697,0.0001562221492756195,0.00394590392199032,0.043768944003453755,0.007317379612967034,0.0018634806017588394,0.0011349478189509234,0.009084443840326369,0.034265101221718136,0.001106316722559493,0.015188796134202326,0.0001338761562485271
32979_1,1,14,0.0028185640428651402,0.002675153815258219,0.0025736853209831836,0.00013722226006749862,0.0024395074524849753,4.0826925651047543e-05,1.6318089272786353e-05,0.0026382654723155845,0.003764646374701554,0.005138557122836467,3.019771103398282e-05,0.02862546432980268,0.0061804502179604315,0.0002576037859704504,7.608309515505099e-05
32987_5,0,15,0.004810225235559133,0.003116832011460411,0.009669411847821992,6.648968128407747e-05,0.02819869105410026,0.004859222674253836,0.00905214817373271,0.00962757109609759,0.03401507786711387,0.039773239074258164,0.0011489306530824742,0.0798724397212182,0.02604158801908273,0.003938653426859943,0.00021205905927294697
32987_5,1,16,0.0004699940787126335,0.00048443908667006856,0.02519547950140318,0.013429209322592056,0.0028662014658368323,0.0011283708604869604,0.09332285600726374,0.0007766090959830727,7.065840255054716e-05,0.0010905209549444757,0.0033045220189529163,0.1134910910325437,0.07307863180300336,0.014694814411978582,0.00036679643478885684
32990_6,0,17,0.010323356235525204,0.017536179438717974,2.7553162156203104e-06,0.0007422043962221548,0.00016734990306434717,6.06537774179267e-05,0.009282439742742194,5.5459639592812475e-05,1.7072583252336234e-05,1.801092512995394e-07,0.04998023713936486,0.027001037108371234,0.006182775972224313,0.03872739205894414,0.00023791549387144735
32990_6,1,18,0.008752088888001336,0.008874345343151681,0.0023361774951983915,0.029297552520100235,0.014038113045850826,0.000133008231708489,0.013793959419508253,0.003752931079822396,0.0029265913175920933,0.0038454420470277824,0.004918349197662832,0.04349094386053132,0.0023063921944243334,6.50181516635438e-06,4.10214271174525e-05
33010_3,0,20,0.024483382491191166,0.028428569414341267,0.003627606983831321,0.051461945890925606,0.0009150041299298142,0.0007682609404630526,0.010641250886736458,0.004840097036335009,0.00015536691858817806,0.0007566786684155658,0.0012641525075439137,0.008243127726945491,0.041678023150185095,0.03818358202894259,1.0133014977894932e-05
33010_3,1,21,0.04473018721278363,0.07732366015779722,0.02444074472744742,0.029256485187836804,0.014766786772994131,0.009664433589540323,0.0009814561414479327,0.0017154867005651979,8.177528905474835e-05,0.000898659714530071,0.006041947847744026,0.0010930150495408108,0.0011193679448009111,0.0012877222892044105,0.00016035947609312052
33024_2,0,22,0.025847222792273007,0.039951220146488595,0.027006755564710213,0.06207066506355426,0.0005054344203124256,0.001542554443716309,0.0022678895795481308,0.023213762647315592,0.014273038228576035,0.01229578216264174,0.011332551323736357,0.006937419165156887,0.00388985503400175,0.00676902123602957,8.832163256920173e-05
33024_2,1,23,0.0007437606006280285,0.0032641100898280276,0.03103237037085583,0.0018305697226391347,0.0010492837404439239,0.00032957220166430416,0.026989592718492408,0.017702733109362028,0.009832665562682148,0.007080736768052654,0.008273320484568383,0.0788771831924028,0.0020264302425521213,0.0015705643671963443,0.000241970121889452
33031_2,0,24,0.01315615477309538,0.019943034118635978,0.007206601997739939,0.026874665155679427,7.028298619483745e-07,0.0006097490687392226,0.001595336624425224,0.0021797873898248125,0.00022581438664279346,5.292039550413375e-05,0.0015184647947179462,0.0002101556653583726,0.00023828895866393924,0.002248480554447378,5.012794633230391e-05
33031_2,1,25,0.00030028483637328557,6.633893485212251e-06,0.016787423700034755,6.061260373348804e-05,0.007759347710450366,8.974535104297678e-05,0.007612134328608286,0.0017314277972592838,0.006617493430474914,0.009173561810940131,9.878080179435769e-05,0.06852879195906289,0.005664822988526754,0.03271184571994981,0.00031575986796239216
33036_2,0,26,8.635670487841887e-05,3.224850996108269e-05,0.01090898592764031,0.00018421639390283013,0.00016068234511652286,0.0006964313411940254,0.019944104950315265,0.007587832553680899,0.011243571723032428,0.011022092768957121,0.028659723318598045,0.03282438781901675,0.00010203823117296918,5.7284304147761314e-05,3.3819959121818347e-05
33036_2,1,27,0.0030027788367975963,0.005868068327273197,0.010939634163845389,0.004524235978760364,0.0006363492736910845,0.0005879000234425791,0.011870603625943249,0.006318925551207849,0.002965207437658744,0.003575604868988713,0.012856753736090567,0.01094493825362416,3.726421163861066e-05,0.00031119413374777614,2.6784020770514875e-05
33044_11,0,28,0.0013350609057129258,0.003143722930767345,0.0038734525521008107,0.013938547862925943,0.0004455680129527671,0.0005976500783961317,0.005027588461239561,0.0032722856255765977,0.0005951346372606444,0.0002690013367717894,0.06351907614987347,0.010670021263111939,0.004953157000541745,0.0030201317556267453,0.00028038837384169595
33044_11,1,29,0.43742761393115626,0.7592984737651138,0.2351348737105612,0.1369664932797951,0.05118176407444788,0.03043351510147958,0.08011453199797473,0.0030764147187746036,0.0009789987021297105,0.0027931908966541547,0.0011626245605828023,0.0004726576077641095,0.045023800787341084,0.09638268212482076,0.0008067846304498886
33045_1,0,30,0.0007093973570018629,0.004374203705561529,0.03656758467589016,7.84855745787355e-05,1.9018566127356748e-05,0.0019841431909720835,0.0671789312231225,0.015892146289086213,0.004382919615503303,0.011988821108364793,0.019584933466515055,0.09093120841218456,0.013292741278315147,0.0014075249345750147,0.00020776362103744743
33045_1,1,31,3.831379391385395e-05,9.440747134154117e-05,0.023150795185568528,0.012223977094562057,0.0004474292014438253,0.002885047230524386,0.10689014759403917,0.057613933700621796,0.005286767091787229,0.001380388595697952,0.08776658737639995,0.06508255170674847,0.00045062855216933934,0.00037035354217926966,1.369047831688861e-05
